"","ï..X","Y","OBJECTID","ReferenceNumber","CategoryHierarchy","CategoryLevel1","CategoryLevel2","CategoryLevel3","CategoryLevel4","CategoryLevel5","CategoryName","CouncilDistrictNumber","SourceLevel1","Neighborhood","DateCreated","DateUpdated","DateClosed","StatusType","SystemId","ServiceLevelName","Latitude","Longitude","XCoord","YCoord","CrossStreet","GlobalID","ZIP"
"32",-121.425389479099,38.6262556955448,6167,"160511-000479","Solid Waste : Appliance and eWaste","Solid Waste","","",NA,NA,"Appliance and eWaste",2,"Phone Call","Hagginwood","2016-05-11T18:13:46.000Z","2017-05-21T06:33:58.000Z","2017-05-21T06:33:58.000Z","Completed",13172,"",38.6262506065562,-121.425376313272,6725824.4217859,1990408.04785561,"ARCADE BLVD","cd65ddcd-3955-4052-adca-b4961af272b0","95815"
"33",-121.526266659002,38.506958793777,6168,"160511-000478","Parks : Maintenance : Irrigation","Parks","Maintenance","",NA,NA,"Irrigation",7,"Phone Call","Greenhaven","2016-05-11T18:17:11.000Z","2017-11-27T15:48:45.000Z","2017-11-27T15:47:55.000Z","Completed",13179,"48 Hours-All Holidays-M/F",38.506958793777,-121.526266659002,6697232.7280089,1946796.87557656,"TRESTLE GLEN WAY","e36cd12f-8be1-4505-bb36-80802bbd5b34","95831"
"34",-121.458175851606,38.4761534848176,6169,"160511-000484","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",8,"Phone Call","Parkway","2016-05-11T18:17:14.000Z","2017-07-06T18:41:35.000Z","2017-07-06T18:39:44.000Z","Completed",13180,"",38.476148410906,-121.458162699136,6716784.082904,1935687.274605,"ARCHEAN WAY","63b9c808-ed55-4d52-aa5a-28a17a1c6e0d","95823"
"35",-121.472515695322,38.6065846929783,6170,"160511-000480","Solid Waste : Pickup Can : Lawn and Garden","Solid Waste","Pickup Can","",NA,NA,"Lawn and Garden",3,"Phone Call","Gardenland","2016-05-11T18:17:40.000Z","2017-05-21T06:33:58.000Z","2017-05-21T06:33:58.000Z","Completed",13181,"",38.6065796092166,-121.472502524626,6712403.20596627,1983162.74253288,"AMERICAN AVE","60f11249-aebe-4f98-88dd-4b9f6d53f950","95833"
"36",-121.513201166556,38.5174296101571,6171,"160511-000488","Water : Notify Supervisor","Water","","",NA,NA,"Notify Supervisor",5,"Phone Call","South Land Park","2016-05-11T18:18:33.000Z","2017-01-27T18:40:24.000Z","2017-01-27T18:38:13.000Z","Closed",13183,"2 Hours-All Holidays-24x7",38.5174245369369,-121.513188000533,6700951.053053,1950629.838928,"S LAND PARK DR","090694b7-d6e2-4215-a9df-bc059ce60f6d","95822"
"37",-121.510621312486,38.5711470510045,6172,"160511-000483","Animal care : Escalation Form : Other","Animal care","Escalation Form","",NA,NA,"Other",4,"Phone Call","Old Sacramento","2016-05-11T18:19:29.000Z","2016-05-11T18:19:43.000Z","","In Progress",13185,"",38.571141973097,-121.510608140265,6701583.83552223,1970196.32713496,"U ST","77a03ad4-4f8e-4838-8b3b-6d8717c279f2","95818"
"38",-121.474445147607,38.606826662842,6173,"160511-000493","Solid Waste : Deliver Can : Garbage","Solid Waste","Deliver Can","",NA,NA,"Garbage",3,"Phone Call","Gardenland","2016-05-11T18:21:34.000Z","2017-01-27T18:40:33.000Z","2017-01-27T18:38:13.000Z","Closed",13188,"",38.6068215792061,-121.474431976584,6711851.346482,1983247.667279,"ADAMS LN","1e247727-ed93-4f3d-aa0f-e6db3c856e9e","95833"
"39",-121.459983076425,38.55433956282,6174,"160511-000499","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",5,"Web App","Med Center","2016-05-11T18:22:25.000Z","2017-05-21T07:36:03.000Z","2017-05-21T07:36:03.000Z","Completed",13191,"",38.5543344824812,-121.4599699141,6716097.51835203,1964157.48167264,"COLONIAL WAY","41e6be3d-7ae6-4c2a-bf5c-a33f07e46dc8","95817"
"40",-121.540856899527,38.4867394392373,6175,"160511-000494","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",7,"Phone Call","Pocket","2016-05-11T18:23:35.000Z","2017-07-06T18:41:37.000Z","2017-07-06T18:39:44.000Z","Completed",13192,"",38.4867343706769,-121.540843732991,6693094.862357,1939412.060135,"ROCKY RIVER CT","9f5b6537-bac4-4e84-bea0-95274cf168bf","95831"
"41",-121.437280411627,38.6118988264044,6176,"160511-000496","Solid Waste : Escalation Form : Dump Coupon","Solid Waste","Escalation Form","",NA,NA,"Dump Coupon",2,"Phone Call","South Hagginwood","2016-05-11T18:23:39.000Z","2017-01-27T18:40:31.000Z","2017-01-27T18:38:13.000Z","Closed",13193,"",38.6118937395204,-121.437267245729,6722459.854867,1985158.402224,"TAFT ST","2139b875-17cb-4fe2-a9dc-f5ffa47fb6a2","95815"
"42",-121.52015392198,38.5152819671476,6177,"160511-000504","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",5,"Phone Call","South Land Park","2016-05-11T18:26:41.000Z","2017-05-20T09:00:38.000Z","2017-05-20T09:00:38.000Z","Completed",13198,"",38.5152768946339,-121.520140755147,6698965.91165609,1949837.1418624,"GLORIA DR","f0b0735b-650e-478f-a0d4-18590c35a8d3","95831"
"43",-121.51708678787,38.5228701809016,6178,"160511-000511","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",5,"Phone Call","South Land Park","2016-05-11T18:28:37.000Z","2017-07-06T18:41:42.000Z","2017-07-06T18:39:44.000Z","Completed",13205,"",38.52286510752,-121.51707362058,6699828.799191,1952605.225276,"LONSDALE DR","92000f26-01c9-4252-abd4-ea43283fa1b8","95822"
"44",-121.462999192897,38.4860679968049,6179,"160511-000503","Solid Waste : Repair Can : Recycle : Lid","Solid Waste","Repair Can","Recycle",NA,NA,"Lid",8,"Phone Call","Parkway","2016-05-11T18:29:53.000Z","2017-05-21T06:34:58.000Z","2017-05-21T06:34:58.000Z","Completed",13206,"",38.486062922423,-121.46298603847,6715381.93548377,1939289.68084901,"COTTONTAIL WAY","7c345f65-3179-4663-8079-0c1f28ef9d60","95823"
"45",-121.462999192897,38.4860679968049,6180,"160511-000514","Solid Waste : Replace Can : Garbage","Solid Waste","Replace Can","",NA,NA,"Garbage",8,"Phone Call","Parkway","2016-05-11T18:32:03.000Z","2017-05-21T06:34:58.000Z","2017-05-21T06:34:58.000Z","Completed",13209,"",38.486062922423,-121.46298603847,6715381.93548377,1939289.68084901,"COTTONTAIL WAY","a7080437-1a1b-4084-b291-17d894c96254","95823"
"46",-121.492247032476,38.5332749380867,6181,"160511-000517","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",5,"Phone Call","Hollywood Park","2016-05-11T18:33:02.000Z","2017-07-06T18:41:44.000Z","2017-07-06T18:39:44.000Z","Completed",13213,"",38.5332698619553,-121.492233867748,6706914.049234,1956433.102586,"MEER WAY","d8a9a864-3fea-4985-9511-cc8e0d585f8a","95822"
"47",-121.420567905988,38.461687426932,6182,"160511-000526","Solid Waste : Repair Can : Recycle : Lid","Solid Waste","Repair Can","Recycle",NA,NA,"Lid",8,"Phone Call","Valley Hi / North Laguna","2016-05-11T18:37:20.000Z","2017-01-27T18:40:29.000Z","2017-01-27T18:38:13.000Z","Closed",13221,"",38.4616823514001,-121.420554761102,6727583.948953,1930485.552922,"ARROYO VISTA DR","763dee2c-5841-4b74-ac55-dcd1fa5823b0","95823"
"48",-121.476047749345,38.6136619941499,6183,"160511-000539","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",3,"Phone Call","Northgate","2016-05-11T18:40:33.000Z","2017-05-21T06:34:59.000Z","2017-05-21T06:34:59.000Z","Cancelled",13229,"",38.613656910065,-121.476034577229,6711379.04525502,1985734.27405399,"NORTHGATE BLVD","b5d1ca75-5a3d-4ec9-bb45-313d97b3c4b5","95833"
"49",-121.497351846102,38.6837297758706,6184,"160511-000542","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",1,"Mobile App","Regency Park","2016-05-11T18:40:58.000Z","2017-07-06T18:41:46.000Z","2017-07-06T18:39:44.000Z","Completed",13233,"",38.6837246875616,-121.497338662016,6705150.763421,2011216.836914,"VOSSPARK WAY","463d3943-9f94-4961-b4df-1eb012dcd403","95835"
"50",-121.462576544637,38.544676864429,6185,"160511-000536","Solid Waste : Deliver Can : Lawn and Garden","Solid Waste","Deliver Can","",NA,NA,"Lawn and Garden",5,"Phone Call","Central Oak Park","2016-05-11T18:43:00.000Z","2017-05-21T06:34:59.000Z","2017-05-21T06:34:59.000Z","Completed",13237,"",38.5446717850965,-121.462563383098,6715376.69050572,1960634.18702568,"MARTIN LUTHER KING JR BLVD","413f552c-c2a5-4284-9d43-3a7bc93d96f9","95817"
"51",-121.497351846101,38.6837297758699,6186,"160511-000550","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",1,"Mobile App","Regency Park","2016-05-11T18:43:26.000Z","2017-05-21T06:39:59.000Z","2017-05-21T06:39:59.000Z","Completed",13240,"",38.6837246875616,-121.497338662016,6705150.76342141,2011216.83691373,"VOSSPARK WAY","2df82f42-6cc9-4b2b-82ff-9bb406330b4a","95835"
"52",-121.488720600258,38.4833840289962,6187,"160511-000552","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",8,"Web App","Meadowview","2016-05-11T18:43:40.000Z","2017-07-06T18:41:35.000Z","2017-07-06T18:39:44.000Z","Completed",13241,"",38.4833789567824,-121.488707442183,6708025.000939,1938269.785696,"TAMOSHANTER WAY","c4c60da6-5430-4948-81e2-c76db1824ffd","95822"
"53",-121.450152886128,38.636775773203,6188,"160511-000547","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",2,"Phone Call","West Del Paso Heights","2016-05-11T18:43:47.000Z","2017-01-27T18:40:27.000Z","2017-01-27T18:38:13.000Z","Closed",13242,"",38.6367706852183,-121.450139715165,6718726.952611,1994195.417687,"GRAND AVE","90cf7901-02aa-4418-ac23-c60917d71d29","95838"
"54",-121.458486669865,38.5586011431671,6189,"160511-000566","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",6,"Web App","Elmhurst","2016-05-11T18:51:05.000Z","2017-07-06T18:41:37.000Z","2017-07-06T18:39:44.000Z","Completed",13253,"",38.558596062358,-121.458473507248,6716516.188535,1965711.982125,"39TH ST","3bd17234-4b92-48a0-9897-ff2e979a4ce8","95819"
"55",-121.506242449882,38.6729876378705,6190,"160511-000557","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",1,"Phone Call","Regency Park","2016-05-11T18:51:39.000Z","2017-07-06T18:41:39.000Z","2017-07-06T18:39:44.000Z","Completed",13254,"",38.6729825511343,-121.506229265756,6702634.231614,2007290.897538,"REGENCY PARK CIR","666a147a-0468-446c-8e8e-e333735236bb","95835"
"56",-121.498072943415,38.6826086592231,6191,"160511-000568","Solid Waste : Replace Can : Garbage","Solid Waste","Replace Can","",NA,NA,"Garbage",1,"Phone Call","Regency Park","2016-05-11T18:52:39.000Z","2017-05-21T06:34:59.000Z","2017-05-21T06:34:59.000Z","Completed",13255,"",38.6826035710632,-121.498059759359,6704947.18417856,2010807.41578819,"HALO AVE","36b16391-e92d-4dfb-a9bf-882c85221ddf","95835"
"57",-121.434848625879,38.466112105174,6192,"160511-000567","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",7,"Phone Call","Valley Hi / North Laguna","2016-05-11T18:54:29.000Z","2017-01-27T18:40:25.000Z","2017-01-27T18:38:13.000Z","Closed",13259,"",38.4661070303471,-121.434835478243,6723484.867108,1932071.149927,"GEARNY DR","f1afdf60-0f93-4126-8fb2-25a7df09874d","95823"
"58",-121.486945140115,38.5810113960754,6193,"160511-000570","Parking : Escalation Form : Garage","Parking","Escalation Form","",NA,NA,"Garage",4,"Phone Call","Mansion Flats","2016-05-11T18:55:41.000Z","2016-06-01T20:39:09.000Z","","In Progress",13261,"48 Hours-All Holidays-M/F",38.5810063155474,-121.48693197034,6708332.50261505,1973825.99977294,"14TH ST","ad346432-e40f-4a6c-846b-bd74d3cb538b","95814"
"59",-121.510621312486,38.5711470510046,6194,"160511-000569","Animal care : Info : Adoption","Animal care","Info","",NA,NA,"Adoption",4,"Phone Call","Old Sacramento","2016-05-11T18:57:55.000Z","2017-01-27T18:40:23.000Z","2017-01-27T18:38:13.000Z","Closed",13267,"",38.571141973097,-121.510608140265,6701583.835522,1970196.327135,"U ST","dbb1e2a7-134e-4ffd-980c-ed46414b6513","95818"
"60",-121.498072943415,38.6826086592231,6195,"160511-000578","Solid Waste : Deliver Can : Lawn and Garden","Solid Waste","Deliver Can","",NA,NA,"Lawn and Garden",1,"Phone Call","Regency Park","2016-05-11T18:58:03.000Z","2017-05-21T06:34:59.000Z","2017-05-21T06:34:59.000Z","Completed",13268,"",38.6826035710632,-121.498059759359,6704947.18417856,2010807.41578819,"HALO AVE","24fe7c1c-ac7c-4af9-b2d4-4c0d1b788c5f","95835"
"61",-121.41423378574,38.4455026157291,6196,"160511-000572","Solid Waste : Repair Can : Lawn and Garden : Lid","Solid Waste","Repair Can","Lawn and Garden",NA,NA,"Lid",8,"Phone Call","Valley Hi / North Laguna","2016-05-11T19:02:54.000Z","2017-05-21T06:34:59.000Z","2017-05-21T06:34:59.000Z","Completed",13279,"",38.4454975410851,-121.414220643808,6729435.61573461,1924603.11831425,"JACINTO RD","2e521067-f2e4-465e-bfe2-a94af18abb50","95758"
